221900,1180
538000,2570
180000,770
604000,1960
510000,1680
257500,1715
291850,1060
229500,1780
323000,1890
662500,3560
468000,1160
310000,1430
400000,1370
530000,1810
650000,2950
395000,1890
485000,1600
189000,1200
230000,1250
385000,1620
285000,2270
252700,1070
329000,2450
233000,1710
937000,2450
667000,1400
438000,1520
719000,2570
580500,2320
280000,1190
687500,2330
535000,1090
322500,2060
696000,2300
550000,1660
640000,2360
240000,1220
605000,2620
625000,2570
775000,4220
861990,3595
685000,1570
309000,1280
488000,3160
210490,990
785000,2290
450000,1250
228000,1190
345000,3150
600000,1410
585000,1980
920000,2730
885000,2830
292500,2250
301000,2420
951000,3250
430000,1850
650000,2150
289000,1260
505000,2519
549000,1540
